"","Jdate","basin_id","term","estimate","std.error","statistic.x","p.value.x","r.squared","adj.r.squared","sigma","statistic.y","p.value.y","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"106",53,"ShopeFork","regression coefficient",0.0500977850161279,0.00225256719824309,22.2403065512106,5.45236728666082e-18,0.951888958375764,0.949964516710795,121.513712569733,NA,NA,NA,-161.183237636111,326.366475272223,328.882668348266,369139.558561995,25,26
"107",54,"BallCreek","regression coefficient",0.0429775556212204,0.00128214351534063,33.5200818839711,1.12517451619299e-17,0.984232599148762,0.983356632434805,150.617027267577,NA,NA,NA,-121.726260593788,247.452521187577,249.34139914591,408338.800252595,18,19
"108",54,"ShopeFork","regression coefficient",0.0513615700120254,0.00228912512348678,22.4372051510194,4.41857877983655e-18,0.952689880700393,0.950797475928408,123.485813212801,NA,NA,NA,-161.601815786498,327.203631572996,329.719824649039,381218.65162067,25,26
"109",55,"BallCreek","regression coefficient",0.0441203319772481,0.00129777114594263,33.9970048765427,8.75812102211124e-18,0.984665142173495,0.983813205627578,152.452849261251,NA,NA,NA,-121.956445427108,247.912890854217,249.80176881255,418353.682461729,18,19
"110",55,"ShopeFork","regression coefficient",0.0526578319724012,0.00232663459432364,22.6326179886056,3.59241367525395e-18,0.953465463856702,0.951604082410971,125.509244549929,NA,NA,NA,-162.024397450224,328.048794900449,330.564987976492,393814.26168735,25,26
"111",56,"BallCreek","regression coefficient",0.0452944157475038,0.00131446705402329,34.4583879899216,6.89522770147683e-18,0.985066956071355,0.984237342519764,154.414164833614,NA,NA,NA,-122.199322644949,248.398645289899,250.287523248232,429187.217422727,18,19
"112",56,"ShopeFork","regression coefficient",0.053987415227965,0.00236512653770361,22.826438402904,2.93034024928854e-18,0.954216335775118,0.952384989206122,127.585674921362,NA,NA,NA,-162.451023168978,328.902046337955,331.418239413998,406952.611128485,25,26
"113",57,"BallCreek","regression coefficient",0.0465006805026156,0.00133233431119765,34.9016610259144,5.49576313143407e-18,0.985438376962204,0.984629397904549,156.513082098982,NA,NA,NA,-122.455845894116,248.911691788232,250.800569746565,440934.207626207,18,19
"114",57,"ShopeFork","regression coefficient",0.0553511412084343,0.0024046606344041,23.0182756005198,2.39898204879451e-18,0.954942047403923,0.95313972930008,129.71832377948,NA,NA,NA,-162.882031939848,329.764063879697,332.28025695574,420671.088103951,25,26
"115",58,"BallCreek","regression coefficient",0.0477400165698599,0.00135148970945995,35.3239956143927,4.43901337379751e-18,0.985779571769876,0.984989547979313,158.763320943443,NA,NA,NA,-122.727069897258,249.454139794516,251.343017752848,453704.257385832,18,19
"116",58,"ShopeFork","regression coefficient",0.056749943544467,0.00244524371929568,23.2082974374485,1.97064236119523e-18,0.955644272525996,0.953870043427036,131.907559828267,NA,NA,NA,-163.317168288442,330.634336576884,333.150529652927,434990.108496196,25,26
"117",59,"BallCreek","regression coefficient",0.0480447801212793,0.00154954107151949,31.0058126269388,4.47576299341329e-17,0.98162065803982,0.980599583486477,182.028974938329,NA,NA,NA,-125.325345198722,254.650690397444,256.539568355777,596421.858907782,18,19
"118",59,"ShopeFork","regression coefficient",0.0574267090278452,0.00263524369063649,21.7918021137449,8.85779341977624e-18,0.949988261181111,0.947987791628355,142.157021830454,NA,NA,NA,-165.26277068171,334.52554136342,337.041734439463,505215.471392603,25,26
